,Course,Education Level,Institutions,Year,GE (%)
1,BACELOR EKONOMI,Ijazah pertama,UNIVERSITI PUTRA MALAYSIA,2022,100
2,"BACELOR EKSEKUTIF KESELAMATAN, KESIHATAN DAN PERSEKITARAN",Ijazah pertama,UNIVERSITI MALAYSIA PAHANG,2022,100
3,BACELOR EKSEKUTIF OPERASI DAN PENGURUSAN PROJEK,Ijazah pertama,UNIVERSITI MALAYSIA PAHANG,2022,100
4,BACELOR EKSEKUTIF PENGURUSAN OPERASI INDUSTRI,Ijazah pertama,UNIVERSITI MALAYSIA PAHANG,2022,100
5,BACELOR EKSEKUTIF PENGURUSAN PROJEK (PETROLEUM & GAS),Ijazah pertama,UNIVERSITI MALAYSIA PAHANG,2022,100
6,BACELOR EKSEKUTIF PENGURUSAN RANTAIAN BEKALAN,Ijazah pertama,UNIVERSITI MALAYSIA PAHANG,2022,100
7,BACELOR EKSEKUTIF TEKNOLOGI DAN PENGURUSAN MINYAK DAN GAS,Ijazah pertama,UNIVERSITI MALAYSIA PAHANG,2022,100
8,BACELOR EKSEKUTIF TEKNOLOGI MEKANIKAL DAN PEMBUATAN,Ijazah pertama,UNIVERSITI MALAYSIA PAHANG,2022,100
9,BACELOR EKSEKUTIF TEKNOLOGI MEKATRONIK,Ijazah pertama,UNIVERSITI MALAYSIA PAHANG,2022,100
10,BACELOR KAUNSELING,Ijazah pertama,UNIVERSITI PUTRA MALAYSIA,2022,100
11,BACELOR KEJURURAWATAN,Ijazah pertama,UNIVERSITI PUTRA MALAYSIA,2022,100
12,BACELOR KEJURUTERAAN AEROANGKASA DENGAN KEPUJIAN,Ijazah pertama,UNIVERSITI PUTRA MALAYSIA,2022,100
13,BACELOR KEJURUTERAAN AWAM DENGAN KEPUJIAN,Ijazah pertama,UNIVERSITI PUTRA MALAYSIA,2022,100
14,BACELOR KEJURUTERAAN ELEKTRIK DAN ELEKTRONIK DENGAN KEPUJIAN,Ijazah pertama,UNIVERSITI PUTRA MALAYSIA,2022,100
15,BACELOR KEJURUTERAAN PERISIAN,Ijazah pertama,UNIVERSITI PUTRA MALAYSIA,2022,100
16,BACELOR KEJURUTERAAN PERTANIAN DAN BIOSISTEM DENGAN KEPUJIAN,Ijazah pertama,UNIVERSITI PUTRA MALAYSIA,2022,100
17,BACELOR KEJURUTERAAN SISTEM KOMPUTER DAN KOMUNIKASI DENGAN KEPUJIAN,Ijazah pertama,UNIVERSITI PUTRA MALAYSIA,2022,100
18,BACELOR KOMUNIKASI,Ijazah pertama,UNIVERSITI PUTRA MALAYSIA,2022,100
19,BACELOR MUZIK,Ijazah pertama,UNIVERSITI PUTRA MALAYSIA,2022,100
20,BACELOR MUZIK (PERSEMBAHAN MUZIK),Ijazah pertama,UNIVERSITI PUTRA MALAYSIA,2022,100
21,BACELOR PENDIDIKAN (PENDIDIKAN JASMANI),Ijazah pertama,UNIVERSITI PUTRA MALAYSIA,2022,100
22,BACELOR PENDIDIKAN (PENGAJARAN B. INGGERIS SEBAGAI B. KEDUA),Ijazah pertama,UNIVERSITI PUTRA MALAYSIA,2022,100
23,BACELOR PENDIDIKAN BIMBINGAN DAN KAUNSELING,Ijazah pertama,UNIVERSITI PUTRA MALAYSIA,2022,100
24,BACELOR PENDIDIKAN JASMANI,Ijazah pertama,UNIVERSITI PUTRA MALAYSIA,2022,100
25,BACELOR PENDIDIKAN PENGAJARAN BAHASA INGGERIS SEBAGAI BAHASA KEDUA,Ijazah pertama,UNIVERSITI PUTRA MALAYSIA,2022,100
26,BACELOR PENDIDIKAN SAINS PERTANIAN,Ijazah pertama,UNIVERSITI PUTRA MALAYSIA,2022,100
27,BACELOR PENDIDIKAN SAINS RUMAH TANGGA,Ijazah pertama,UNIVERSITI PUTRA MALAYSIA,2022,100
28,BACELOR PENGAJIAN PENGGUNA,Ijazah pertama,UNIVERSITI PUTRA MALAYSIA,2022,100
29,BACELOR PENGURUSAN ALAM SEKITAR,Ijazah pertama,UNIVERSITI PUTRA MALAYSIA,2022,100
30,BACELOR PENTADBIRAN PERNIAGAAN,Ijazah pertama,UNIVERSITI PUTRA MALAYSIA,2022,100
31,BACELOR PERAKAUNAN,Ijazah pertama,UNIVERSITI PUTRA MALAYSIA,2022,100
32,BACELOR PERTADBIRAN PERNIAGAAN,Ijazah pertama,UNIVERSITI PUTRA MALAYSIA,2022,100
33,BACELOR PERTANIAN (AKUAKULTUR),Ijazah pertama,UNIVERSITI PUTRA MALAYSIA,2022,100
34,BACELOR REKA BENTUK (REKA BENTUK PERINDUSTRIAN),Ijazah pertama,UNIVERSITI PUTRA MALAYSIA,2022,100
35,BACELOR SAINS (DIETETIK),Ijazah pertama,UNIVERSITI PUTRA MALAYSIA,2022,100
36,BACELOR SAINS (KEPUJIAN) BIOTEKNOLOGI,Ijazah pertama,UNIVERSITI PUTRA MALAYSIA,2022,100
37,BACELOR SAINS (PEMBANGUNAN SUMBER MANUSIA),Ijazah pertama,UNIVERSITI PUTRA MALAYSIA,2022,100
